"id","ind","respuesta"
"pr2013032001",518,"-1"
"pr2013032002",519,"-1"
"prodh2013032101",520,"-1"
"pr2013032101",521,"-1"
"acuddeh2013032201",522,"-1"
"pr2013032501",523,"-1"
"codigodh2013032901",524,"-1"
"pr2013040101",525,"-1"
"acuddeh2013040201",526,"-1"
"codigodh2013040301",527,"-1"
"acuddeh2013040501",528,"-1"
"acuddeh2013040502",529,"-1"
"pr2013040701",530,"-1"
"pr2013040702",531,"-1"
"acuddeh2013040701",532,"-1"
"acuddeh2013040702",533,"-1"
"acuddeh2013040703",534,"-1"
"a192013040801",535,"-1"
"pr2013041001",536,"-1"
"a192013041101",537,"-1"
"pr2013041101",538,"-1"
"acuddeh2013041301",539,"-1"
"pr2013041501",540,"-1"
"acuddeh2013041501",541,"-1"
"pr2013041601",542,"-1"
"a192013041601",543,"-1"
"pr2013041602",544,"-1"
"a192013041701",545,"-1"
"pr2013041701",546,"-1"
"cpj2013041801",547,"-1"
"a192013041901",548,"-1"
"pr2013041901",549,"-1"
"pr2013042101",550,"-1"
"cpj2013042201",551,"-1"
"pr2013042401",552,"-1"
"pr2013042402",553,"-1"
"a192013042501",554,"-1"
"cpj2013042501",555,"-1"
"pr2013042601",556,"-1"
"a192013042601",557,"-1"
"pr2013043001",558,"-1"
"pr2013043002",559,"-1"
"pr2013050101",560,"-1"
"codigodh2013050101",561,"-1"
"rsf2013050201",562,"-1"
"acuddeh2013050201",563,"-1"
"pr2013050201",564,"-1"
"a192013050201",565,"-1"
"a192013050301",566,"-1"
"pr2013050301",567,"-1"
"pr2013050302",568,"-1"
"cerezo2013050501",569,"-1"
"a192013050601",570,"-1"
"acuddeh2013050601",571,"-1"
"pr2013050701",572,"-1"
"codigodh2013050901",573,"-1"
"acuddeh2013050901",574,"-1"
"pr2013051201",575,"-1"
"a192013051301",576,"-1"
"cerezo2013051301",577,"-1"
"acuddeh2013051401",578,"-1"
"pr2013051401",579,"-1"
"pr2013051501",580,"-1"
"pr2013051502",581,"-1"
"pr2013051503",582,"-1"
"a192013051501",583,"-1"
"a192013051601",584,"-1"
"pr2013051801",585,"-1"
"a192013051801",586,"-1"
"pr2013052001",587,"-1"
"a192013052101",588,"-1"
"pr2013052201",589,"-1"
"a192013052401",590,"-1"
"rsf2013052701",591,"-1"
"a192013053001",592,"-1"
"acuddeh2013060601",593,"-1"
"pr2013060701",594,"-1"
"prodh2013061001",595,"-1"
"pr2013061101",596,"-1"
"pr2013061301",597,"-1"
"a192013061401",598,"-1"
"acuddeh2013061601",599,"-1"
"pr2013061901",600,"-1"
"acuddeh2013062101",601,"-1"
"a192013062101",602,"-1"
"pr2013062401",603,"-1"
"a192013062601",604,"-1"
"acuddeh2013062901",605,"-1"
"a192013062901",606,"-1"
"pr2013062901",607,"-1"
"a192013070101",608,"-1"
"pr2013070201",609,"-1"
"a192013070201",610,"-1"
"rsf2013070401",611,"-1"
"acuddeh2013070401",612,"-1"
"a192013070701",613,"-1"
"pr2013070701",614,"-1"
"pr2013070901",615,"-1"
"pr2013071001",616,"-1"
"a192013071101",617,"-1"
"a192013071201",618,"-1"
"acuddeh2013071201",619,"-1"
"a192013071701",620,"-1"
"pr2013071701",621,"-1"
"cpj2013071801",622,"-1"
"rsf2013071801",623,"-1"
"acuddeh2013072001",624,"-1"
"pr2013072501",625,"-1"
"acuddeh2013072501",626,"-1"
"pr2013072601",627,"-1"
"pr2013072701",628,"-1"
"acuddeh2013072701",629,"-1"
"a192013072901",630,"-1"
"a192013080201",631,"-1"
"a192013080202",632,"-1"
